Designator,Mid X,Mid Y,Rotation,Layer
J1,87.023,-45.500001,180,bottom
J2,87.023,-42.960001,180,bottom
J3,101.568,-75.620001,180,bottom
J4,104.108,-75.620001,180,bottom
J5,106.648,-75.620001,180,bottom
J6,109.188,-75.620001,180,bottom
J8,73.141153,-40.455849,155,bottom
J9,73.141153,-67.760849,155,bottom
J10,134.042826,-68.834299,-155,bottom
J11,134.042826,-41.529299,-155,bottom
S1,93.951648,-74.731217,-30.75,top
